Device,Experiment,Plate Name,Plate Position Name,Strain,Genotype,Culturing Temperature,Experiment Temperature,Food Source,Incubator Name,Incubator Column,Incubator Shelf,Event Frequency,Age at Death (d) Raw,Censored,Censored Reason,Event Observation Type,Technique
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,3,3.6248,1,Escaped machine detection,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,3.68036,1,Escaped machine detection,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,2,3.73591,1,Escaped machine detection,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,5.1248,1,Escaped machine detection,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,6.6248,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,8.29147,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,8.79147,1,Escaped machine detection,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,9.01369,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,9.23591,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,9.45814,0,,Observed Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,8.67341,0,,Induced Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,10.2915,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.1248,0,,Observed Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,10.5623,0,,Induced Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.1248,0,,Observed Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,9.95814,0,,Induced Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.4026,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.6248,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.6248,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.7915,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,12.347,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,12.4026,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,12.7915,0,,Observed Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.847,0,,Induced Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,12.847,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.0692,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.2359,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.5692,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,14.5762,1,Escaped machine detection,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,14.7915,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,14.9026,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::0,d::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,16.7359,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,2.23591,1,Escaped machine detection,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,2.84703,1,Escaped machine detection,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,7.1248,1,Escaped machine detection,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,7.18036,1,Escaped machine detection,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,8.29147,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,9.45814,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,9.51369,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,10.0137,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,10.347,0,,Observed Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,10.0137,0,,Induced Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.347,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.9581,0,,Observed Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.4581,0,,Induced Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,12.1804,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,12.2359,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,12.5692,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,12.6248,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,12.6248,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,12.9581,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.1248,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.347,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.347,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.5137,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.5137,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.5137,0,,Observed Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,12.7429,0,,Induced Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.5692,0,,Observed Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,2,11.3401,0,,Induced Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.6804,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.7359,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.9581,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.9581,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,14.2359,0,,Observed Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.2359,0,,Induced Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,14.2915,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,14.6248,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,14.9581,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,15.4026,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,15.6804,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,15.847,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,16.0137,1,Escaped machine detection,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,16.2359,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,16.6804,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,17.0137,0,,Observed Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,15.847,0,,Induced Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,17.2359,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_d::3,d::3,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,18.0692,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,7.70814,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,9.81925,1,Escaped machine detection,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,9.93036,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,9.98591,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,10.1526,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,10.3192,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,10.7637,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,10.8192,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.4304,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.597,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,12.4304,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,12.597,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.1526,0,,Observed Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.6595,0,,Induced Multiple Worm,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.2081,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.2637,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::0,c::0,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,13.8192,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::1,c::1,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,6.04147,1,Escaped machine detection,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::1,c::1,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,6.15258,1,Escaped machine detection,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::1,c::1,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,8.3748,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::1,c::1,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,8.93036,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::1,c::1,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,9.26369,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::1,c::1,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,10.4304,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::1,c::1,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,10.7081,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::1,c::1,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,10.7081,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::1,c::1,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,10.8192,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::1,c::1,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.097,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::1,c::1,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.3748,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::1,c::1,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.4304,0,,,Lifespan Machine
stone,2010_11_23_ten_n2,stone_c::1,c::1,N2,CGC Wildtype,25C,25C,OP50,five,R,1,1,11.4304,0,,,Lifespan Machine
